Grayson Mill III,Fund XII,6/9/2023,2.16,1.017
Double Eagle IV ,Fund XII,6/8/2023,2.26,1.116
Ridge Runner (at Cost) ,Fund XII,8/18/2023,1,0
Black Swan II (at Cost) ,Fund XII,10/27/2023,1,0
Paloma VII (at Cost) ,Fund XII,2/7/2024,1,0
Novo II (at Cost) ,Fund XII,2/14/2024,1,0
Pegasus III (at Cost) ,Fund XII,3/1/2024,1,0
Verdun III (at Cost) ,Fund XII,4/25/2024,1,0
Sable Bay,Fund XI,8/18/2017,0,0
Black Swan,Fund XI,10/25/2017,3.61,0.503
Piedra IV,Fund XI,12/6/2018,1.9,0.223
Silverado,Fund XI,3/22/2019,0.06,-0.559
Forge II,Fund XI,5/31/2018,1.64,0.158
XCL,Fund XI,7/3/2018,2.81,0.268
Raisa III ,Fund XI,6/14/2019,0.61,-0.198
Paloma V (Solar & Wind),Fund XI,5/15/2020,1.09,0.13
Special Opportunities ,Fund XI,12/2/2020,2.22,1.364
Grayson Mill II ,Fund XI,4/22/2021,5.43,1.064
Grayson Mill III,Fund XI,6/9/2023,2.16,0.938
Silverback II,Fund XI,7/17/2017,0.9,-0.046
Enduring IV,Fund XI,7/17/2017,1.21,0.033
EnCap Minerals,Fund XI,11/14/2017,2.58,0.216
Arbor Gas,Fund XI,2/3/2021,0.5,-0.265
Grenadier III (at Cost),Fund XI,6/9/2021,1,0
Pegasus II ,Fund XI,6/17/2021,1.71,0.291
Verdun II ,Fund XI,7/26/2021,2.93,0.673
Sabalo II (at Cost) ,Fund XI,9/22/2021,1,0
Paloma VI ,Fund XI,12/8/2021,1.03,0.013
Double Eagle IV,Fund XI,3/25/2022,2.36,0.638
Tumbleweed IV ,Fund XI,3/25/2022,1.42,0.282
Permian Resources (formerly Earthstone),Fund XI,4/12/2022,2.11,0.42
M6 ,Fund XI,11/28/2022,1.28,0.255
Southland ,Fund X,3/1/2015,0,0
Ameredev ,Fund X,5/15/2015,3.06,2.732
Talon III,Fund X,5/15/2015,4.14,2.435
Grenadier II ,Fund X,5/15/2015,1.44,0.086
Moda,Fund X,6/15/2015,1.63,0.17
Staghorn II ,Fund X,10/2/2015,2.39,1.549
Felix II,Fund X,11/15/2015,7.87,0.463
Raisa ,Fund X,4/11/2016,1.06,0.015
Advance,Fund X,5/1/2016,2.73,0.207
Novo,Fund X,8/16/2016,3.02,0.238
PetroLegacy ,Fund X,9/22/2016,2.63,0.187
Grayson Mill ,Fund X,10/31/2016,0.76,-0.063
Royal Holly,Fund X,1/9/2017,0.33,-0.464
Fortis Oklahoma ,Fund X,3/31/2017,1.1,0.02
Ameredev II,Fund X,3/24/2017,2.36,0.15
Staghorn III ,Fund X,5/3/2017,0.11,-0.326
Olifant,Fund X,6/8/2017,0.15,-0.646
Grayson Mill II,Fund X,4/22/2021,5.45,0.975
Grayson Mill III,Fund X,6/9/2023,2.16,0.938
Verdun ,Fund X,1/4/2016,6.97,0.403
Plains All American ,Fund X,1/28/2016,1.83,0.086
OGX IV Quinn Ranch ,Fund X,6/1/2016,1.67,0.097
EnCap Minerals ,Fund X,6/1/2016,3.88,0.257
Mongoose,Fund X,4/12/2017,0.1,-0.314
Enduring IV,Fund X,6/14/2017,1.21,0.033
Verdun Austin Chalk JV,Fund X,12/17/2021,1.11,0.053
Paloma III,Fund IX,1/1/2013,2.1,0.462
Payrock,Fund IX,1/1/2013,4.62,0.86
Common III,Fund IX,1/1/2013,0.19,-0.42
Modern ,Fund IX,3/1/2013,0.24,-0.232
Felix,Fund IX,4/13/2013,5.17,0.997
QStar,Fund IX,6/13/2013,2.44,1.017
Silverback,Fund IX,11/21/2013,3.13,0.999
Sabalo,Fund IX,3/24/2014,2.24,0.147
Paloma IV,Fund IX,5/30/2014,1.28,0.041
